estimated_x,estimated_y,estimated_z,GPIO_Pin_12,GPIO_Pin_13,GPIO_Pin_14,GPIO_Pin_15
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
208.154.480,134.034.851,160.308.945,ON,OFF,OFF,ON
143.593.460,131.581.955,158.145.554,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
